name	type	kingdom	P156T_rna	P160T_rna	P180T_rna	P193T_rna	P198T_rna	P223T_rna	P229T_rna	P268T_rna	P270T_rna	P303T_rna	P368T_rna
Knoellia	genus	Bacteria	0.0	0.0320687826263596	0.0427652253123613	0.0044202543446198	0.0039839460448788	0.0254904510969094	0.015242516761243	0.0146513625832612	0.0022799650901993	0.0	0.0
Kocuria	genus	Bacteria	0.3568874089876127	0.7949989255202232	0.7598878288602771	0.5815227541675653	1.0518523898206424	3.973341120211186	1.955441422649861	0.5974068573283291	1.1590137291342268	4.261852963096444	0.5350457901123534
Kosakonia	genus	Bacteria	0.0	0.0	0.0003582306586337	0.0004474006981214	0.0	0.0	0.0	9.38023656890926e-05	0.0004191763597663	5.640411767984596e-05	0.0
Kribbella	genus	Bacteria	0.0	0.0032519357473358	0.0064481518554066	0.0	0.0079678920897576	0.0147432993720875	0.0	0.0061909561354801	0.0	0.0	0.0
Kryptoperidinium	genus	Eukaryota	0.0	0.1397574524856296	0.0	0.0208394213375411	0.0	0.0127775261224758	0.008937166794491	0.002837521562095	0.0004749927271248	0.0015981166675956	0.039161482426435
Kurthia	genus	Bacteria	0.0	0.0	0.0	0.0002759579078023	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Kutzneria	genus	Bacteria	0.0	0.0	0.0001535274251287	0.0003966894924658	0.0009959865112197	0.00012709740838	0.0001042379909382	0.0	0.0	0.0007670960004459	0.0002926233605277
Labrenzia	genus	Bacteria	0.0	0.0061378527525473	0.0	0.003173515939727	0.0	0.0	0.0012508558912589	0.0	0.0	0.0	0.0005608614410114
Lachnoanaerobaculum	genus	Bacteria	0.0	0.2666587312815391	0.9521770906483832	0.6347031879454161	2.90828061276156	0.8870551788872681	0.0354409169190037	0.394157540625567	0.1570642617692902	0.7348140437604771	0.3454906476630728
Lachnoclostridium	genus	Bacteria	0.0	0.0	0.0008060189819258	0.014658621245406	0.0293573132324395	0.0	0.0	0.0	0.0143673990604627	0.001438305000836	0.1163360167096149
Lachnospira	genus	Bacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0067303372921377
Lacimicrobium	genus	Bacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0061909561354801	0.0	0.0	0.0
Lacinutrix	genus	Bacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lactobacillus	genus	Bacteria	0.5853060120513797	0.0130077429893433	0.0	0.0222146115780895	0.0159357841795153	0.0147432993720875	0.0062542794562947	0.00309547806774	0.1595975563139562	0.0038354800022295	0.0168258432303444
Lactococcus	genus	Bacteria	0.0	0.0	0.1386352648912431	0.003173515939727	0.0079678920897576	0.0073716496860437	0.0	0.0	0.0	0.0	0.0
Lacunisphaera	genus	Bacteria	0.0	0.0	0.0096722277831099	0.0	0.0	0.0	0.0	0.0061909561354801	0.0	0.0	0.0
Lagierella	genus	Bacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0038354800022295	0.0
