type	name	kingdom	P156T_rna	P160T_rna	P180T_rna	P193T_rna	P198T_rna	P207T_rna	P223T_rna	P229T_rna	P268T_rna	P270T_rna	P303T_rna	P326T_rna	P368T_rna	P394T_rna
species	Mycobacterium_sp._MAC_011194_8550	Bacteria	0.0	5.241962201484165e-05	0.0	0.0	0.0	0.0	8.96397879299928e-05	5.1843952551777125e-05	0.0002151878835277	8.38104190354967e-05	0.0	0.0	3.488003621942934e-05	2.5739429459806403e-05
species	Mycobacterium_sp._MOTT36Y	Bacteria	0.0	5.241962201484165e-05	0.0	0.0	0.0	0.0	8.96397879299928e-05	5.1843952551777125e-05	0.0002151878835277	8.38104190354967e-05	0.0	0.0	3.488003621942934e-05	2.5739429459806403e-05
species	Mycobacterium_sp._NAZ190054	Bacteria	0.0	0.0059241791798182	4.082965866405355e-05	0.0001602825801587	0.0	0.0	0.000336574831971	0.0001324757185648	0.0013451300804822	0.0006645020045208	0.0	4.703465325112918e-05	0.0002575500447464	0.0003505887805732
species	Mycobacterium_sp._NE-TNMC-100812	Bacteria	0.0	0.0011844018246786	0.0	0.0002490737569662	0.0	0.0	0.0001775737530395	0.0002793552849757	0.0005527366935481	0.0007331157579977	0.0	4.703465325112918e-05	0.0002476482571579	2.5739429459806403e-05
species	Mycobacterium_sp._NRRL_B-3805	Bacteria	0.0	0.0006025272182883	4.082965866405355e-05	0.0003748078005023	0.0	0.0	0.0	0.0010349448720982	0.0008267389161347	0.000931816522135	0.0	4.703465325112918e-05	0.0002227745963417	0.0039297839892722
species	Mycobacterium_sp._QIA-37	Bacteria	0.0	0.0003667941203683	4.082965866405355e-05	0.0002636141589995	0.0	0.0	0.0	0.000492859782187	0.0004093113406	0.0002729013054431	0.0	0.0	0.0002553218651262	0.0028051905170111
species	Mycobacterium_sp._Root135	Bacteria	0.0	0.0022819423590046	0.0	0.0001415191800944	0.0	0.0	0.0	9.75754019323216e-05	0.0004085281423462	0.0004070004588087	0.0	4.703465325112918e-05	3.488003621942934e-05	0.0005226518434706
species	Mycobacterium_sp._Root265	Bacteria	0.0	0.0005996872215027	0.0	0.0001415191800944	0.0	0.0	0.0	5.1843952551777125e-05	0.0003913207002652	0.0002436445038661	0.0	0.0	3.488003621942934e-05	0.000160319874921
species	Mycobacterium_sp._SCH	Bacteria	0.0	0.0063670309002493	0.0021348507555888	0.00283800659746	0.0018540878408268	0.0	0.0041551555609274	0.0085981808975009	0.0232417208274656	0.0119287812151728	0.0002346074079635	0.0014924457281608	0.0070872786460208	0.0032393627480094
species	Mycobacterium_sp._SP-6446	Bacteria	0.0	0.0001767575772389	0.0	0.0001602825801587	0.0	0.0	8.96397879299928e-05	5.1843952551777125e-05	0.000393204504477	8.38104190354967e-05	0.0	4.703465325112918e-05	0.0002575500447464	2.5739429459806403e-05
species	Mycobacterium_sp._ST-F2	Bacteria	0.0	8.131506231339976e-05	0.0	0.0003905929370607	0.0	0.0	8.96397879299928e-05	0.000342695970612	0.0002151878835277	0.0004010659905454	0.0	0.0	3.488003621942934e-05	0.000160319874921
species	Mycobacterium_sp._SWH-M1	Bacteria	0.0	0.0004551599846154	0.0	0.0003018017602532	0.0	0.0	0.0	0.0001324757185648	0.001018968759025	0.0003392236802221	0.0	4.703465325112918e-05	0.000367602572818	0.000160319874921
species	Mycobacterium_sp._SWH-M3	Bacteria	0.0	0.0067269855279684	0.0024410731955692	0.00283800659746	0.0018540878408268	0.0	0.0045156848178766	0.0092109823192002	0.0268879778044381	0.0135026516525017	0.0	0.0014924457281608	0.0077255833088364	0.003548399326476
